구분,돈,시도,제목,제공유형,장소,기간,문의처
국악,유료,서울특별시,작곡동인 원시인X아쟁앙상블 Bow+ing: 오늘의 음악,오프라인,서울돈화문국악당,2022-11-18~2022-11-18,서울돈화문국악당 02-3210-7001
음악/콘서트,유료,서울특별시,국립합창단 신진지휘자 초청연주회,오프라인,예술의전당 IBK챔버홀,2022-11-18~2022-11-18,국립합창단 02-587-8111
무용/발레,유료,경기도,물속 골리앗 [남양주],오프라인,다산아트홀,2022-11-18~2022-11-18,"다산아트홀 031-590-4358, 4361"
음악/콘서트,유료,경기도,제297회 부천필하모닉오케스트라 정기연주회,오프라인,부천시민회관 대공연장,2022-11-18~2022-11-18,부천시립예술단 032-327-7523
국악,유료,서울특별시,"관현악시리즈 Ⅱ, 역동과 동력",오프라인,국립극장 해오름극장,2022-11-18~2022-11-18,국립극장 02-2280-4114
음악/콘서트,유료,서울특별시,"샤를 리샤르, 아믈랭 피아노 리사이틀",오프라인,예술의전당 콘서트홀,2022-11-18~2022-11-18,더브릿지컴퍼니 02-6094-1001
음악/콘서트,"유료,할인",서울특별시,국립합창단 <신진지휘자 초청연주회>,오프라인,예술의전당 IBK챔버홀,2022-11-18~2022-11-18,국립합창단 02) 587-8111
국악,유료,서울특별시,작곡동인 원시인 X 아쟁앙상블 Bow+ing <오늘의 음악>,오프라인,서울돈화문국악당,2022-11-18~2022-11-18,서울돈화문국악당 02-3210-7001
기타,유료,서울특별시,"다크필드 3부작, 플라이트",오프라인,LG아트센터,2022-10-26~2022-11-19,LG아트센터 서울 티켓박스 1661-0017
기타,유료,서울특별시,"다크필드 3부작, 코마",오프라인,LG아트센터,2022-10-26~2022-11-19,LG아트센터 서울 티켓박스 1661-0017
기타,유료,서울특별시,"다크필드 3부작, 고스트쉽",오프라인,LG아트센터,2022-10-26~2022-11-19,LG아트센터 서울 티켓박스 1661-0017
뮤지컬/오페라,유료,경기도,헨젤과 그레텔 [김포],오프라인,김포한강괜찮은홀,2022-11-05~2022-11-19,김포한강괜찮은홀 070-8886-2516
연극,유료,서울특별시,개굴개굴 고래고래,오프라인,종로아이들극장,2022-11-17~2022-11-19,"국립아시아문화전당재단 062-601-4664, 4670"
뮤지컬/오페라,유료,서울특별시,블루홀 속으로,오프라인,금나래아트홀,2022-11-17~2022-11-19,금천문화재단 예술진흥팀 02-2627-2989
연극,유료,경기도,종이아빠 [군포],오프라인,군포시평생학습원 상상극장,2022-11-17~2022-11-19,군포시평생학습원 상상극장 031-390-3050
뮤지컬/오페라,무료,인천광역시,사랑의 포스트,오프라인,부평아트센터 해누리 극장,2022-11-18~2022-11-19,010-5515-2515
연극,유료,부산광역시,먼데서 오는 여자 [부산],오프라인,공간소극장,2022-11-18~2022-11-19,공간소극장 051-611-8518
연극,"유료,할인",강원도,춘천시립인형극단 제3회 정기공연 <변신> 프란츠 카프카 원작 이병훈 구성 및 연출,오프라인,춘천인형극장 대극장,2022-11-18~2022-11-19,070-4633-5798
뮤지컬/오페라,유료,경기도,의심의 소녀 [광명],오프라인,광명시민회관,2022-11-18~2022-11-19,아리보네 협동조합 010-2748-8274
연극,유료,울산광역시,세인트 조앤 [울산],오프라인,현대예술관,2022-11-18~2022-11-19,현대예술관 1522-3331
뮤지컬/오페라,유료,경기도,백만송이의 사랑 [수원],오프라인,경기아트센터,2022-11-18~2022-11-19,경기아트센터 031-230-3440
연극,유료,경상남도,염쟁이 유씨 [김해],오프라인,김해서부문화센터 하늬홀,2022-11-18~2022-11-19,김해서부문화센터 055-344-1800
뮤지컬/오페라,유료,전라북도,삼총사 [익산],오프라인,익산예술의전당 대공연장,2022-11-18~2022-11-19,익산예술의전당 063-859-3254
연극,유료,강원도,제3회 춘천시립인형극단 정기공연,오프라인,춘천인형극장 대극장,2022-11-18~2022-11-19,춘천시립인형극단 070-4633-5789
국악,유료,서울특별시,"남산초이스, 강민수",오프라인,남산골한옥마을,2022-11-18~2022-11-19,서울남산국악당 02-2261-0500
뮤지컬/오페라,유료,대구광역시,"제19회 대구국제오페라축제, 심청",오프라인,대구오페라하우스,2022-11-18~2022-11-19,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
뮤지컬/오페라,유료,경상남도,토스카 [진주],오프라인,경상남도 문화예술회관,2022-11-18~2022-11-19,경상남도문화예술회관 1544-6711
무용/발레,유료,서울특별시,정글북: 또 다른 세계,오프라인,LG아트센터 서울,2022-11-18~2022-11-19,LG아트센터 서울 티켓박스 1661-0017
연극,유료,경기도,회란기 [용인],오프라인,용인시문예회관 처인홀,2022-11-18~2022-11-19,"용인문화재단 031-260-3355, 3358"
뮤지컬/오페라,유료,전라북도,푸치니 투란도트 [전주],오프라인,한국소리문화의전당,2022-11-18~2022-11-19,호남오페라단 063-288-6807 / 문자 010-2108-6807
국악,유료,대전광역시,적벽 [대전],오프라인,대전시립연정국악원,2022-11-18~2022-11-19,대전시립연정국악원 042-270-8500
무용/발레,유료,세종특별자치시,"요안 부르주아 컴퍼니, 기울어진 사람들 [세종]",오프라인,세종 예술의전당,2022-11-18~2022-11-19,세종예술의전당 044-850-8921
뮤지컬/오페라,유료,경기도,뮤지컬 <의심의 소녀>,오프라인,광명시민회관,2022-11-18~2022-11-19,arebornemusical@gmail.com
음악/콘서트,유료,대구광역시,피아니스트 백혜선 시와 그림이 있는 음악회 [대구],오프라인,대구범어대성당 드망즈홀,2022-11-19~2022-11-19,범어대성당 드망즈홀 053-790-1300
국악,유료,대구광역시,"대구문화예술회관 판소리 완창시리즈, 소리 최경희의 정광수제 수궁가",오프라인,대구문화예술회관,2022-11-19~2022-11-19,"대구문화예술회관 053-606-6135, 6133"
음악/콘서트,유료,서울특별시,이현정 초청 바이올린 독주회,오프라인,세라믹팔레스홀,2022-11-19~2022-11-19,"세라믹팔레스홀 02-3411-4668, 4667"
음악/콘서트,유료,대구광역시,제2회 르 송 앙상블 정기연주회,오프라인,대구콘서트하우스 챔버홀,2022-11-19~2022-11-19,프란츠클래식 0507-1338-2389
뮤지컬/오페라,유료,전라남도,슈퍼 루나틱 [목포],오프라인,목포시민문화체육센터 대공연장,2022-11-19~2022-11-19,목포문화예술회관 공연팀 061-270-8488
음악/콘서트,유료,서울특별시,김남중 비올라 독주회,오프라인,예술의전당 리사이틀홀,2022-11-19~2022-11-19,이든예술기획 02-6412-3053
뮤지컬/오페라,유료,충청북도,신데렐라 [제천],오프라인,제천시문화회관,2022-11-19~2022-11-19,제천문화회관 043-642-6410
국악,유료,경기도,이희문 오방神과,오프라인,복사골문화센터 아트홀,2022-11-19~2022-11-19,032-320-6336
음악/콘서트,유료,서울특별시,"그림 읽어주는 베토벤, 빨강머리 앤",오프라인,팝콘D스퀘어 대원뮤지엄,2022-11-19~2022-11-19,대원콘텐츠라이브 02-6373-3366
뮤지컬/오페라,유료,강원도,누가 내머리에 똥쌌어? [삼척],오프라인,삼척문화예술회관,2022-11-19~2022-11-19,삼척문화예술센터 033-572-1331
뮤지컬/오페라,유료,인천광역시,미술관에 간 윌리 [인천],오프라인,계양문화회관,2022-11-19~2022-11-19,계양문화회관 032-719-4472
음악/콘서트,유료,서울특별시,손창인 콘트라베이스 독주회,오프라인,예술의전당 리사이틀홀,2022-11-19~2022-11-19,조인클래식 02-525-6162
음악/콘서트,유료,인천광역시,수험생을 위한 특별음악회: 게임음악 콘서트 [인천],오프라인,아트센터 인천,2022-11-19~2022-11-19,아트센터인천 032-453-7700
음악/콘서트,유료,서울특별시,안영지 플루트 독주회,오프라인,예술의전당 인춘아트홀,2022-11-19~2022-11-19,"음악교육신문 02-549-4133, 1131"
음악/콘서트,유료,부산광역시,레인보우 키즈 클래식 콘서트 [초록],오프라인,청년창조발전소 3층 문화예술공연장,2022-11-19~2022-11-19,샤콘느 010-4018-1979
음악/콘서트,유료,서울특별시,"구로 클래식 페스타, 베누스토심포니오케스트라",오프라인,구로아트밸리예술극장,2022-11-19~2022-11-19,"구로문화재단 02-2029-1725, 1700"
연극,무료,경상남도,"경남도립극단, 리어왕 [거제]",오프라인,거제문화예술회관,2022-11-19~2022-11-19,거제문화예술회관 055-680-1050
음악/콘서트,유료,부산광역시,우크라이나 평화기원 체르니우치 챔버 필하모니 오케스트라 초청 콘서트,오프라인,영도문화예술회관,2022-11-19~2022-11-19,영도문화예술회관 051-419-5571~4
연극,유료,경상남도,리미트 [함안],오프라인,함안문화예술회관,2022-11-19~2022-11-19,"함안문화예술회관 055-580-3623, 3627"
음악/콘서트,유료,부산광역시,"레인보우 키즈 클래식 콘서트, 노랑 (11.19)",오프라인,청년창조발전소 3층 문화예술공연장,2022-11-19~2022-11-19,청년창조발전소 051-746-2018 / 010-4018-1979
뮤지컬/오페라,유료,경기도,"아람누리 오페라 콘서트 시리즈 Ⅶ, 라 트라비아타: 고독",오프라인,고양아람누리 아람음악당,2022-11-19~2022-11-19,고양문화재단 1577-7766
음악/콘서트,유료,강원도,"대관령음악제 연중기획, Four For All 3: 서울챔버뮤직소사이어티",오프라인,알펜시아 콘서트홀,2022-11-19~2022-11-19,강원문화재단 033-240-1363
음악/콘서트,유료,서울특별시,노부스 콰르텟 베토벤 현악사중주 전곡 연주 5,오프라인,예술의전당 IBK챔버홀,2022-11-19~2022-11-19,목프로덕션 02-338-3816
국악,유료,경기도,이희문 오방神과 [부천],오프라인,복사골문화센터 아트홀,2022-11-19~2022-11-19,복사골문화센터 아트홀 032-320-6336
뮤지컬/오페라,유료,경기도,돼지책 [구리],오프라인,구리아트홀 유채꽃 소극장,2022-11-19~2022-11-19,극단 가람 031-633-4864
음악/콘서트,유료,서울특별시,"금호영재콘서트, 신성민 피아노 독주회",오프라인,금호아트홀 연세,2022-11-19~2022-11-19,금호문화재단 02-6303-1977
국악,유료,서울특별시,"금호영아티스트콘서트, 박시은 피리 독주회",오프라인,금호아트홀 연세,2022-11-19~2022-11-19,금호문화재단 02-6303-1977
뮤지컬/오페라,유료,경기도,고고다이노 우리동네공룡 [평택],오프라인,평택시 서부문화예술회관,2022-11-19~2022-11-19,인터파크 1544-1555
음악/콘서트,유료,부산광역시,"부산국제클래식음악제, Pre-Concert 대전환 그리고 포용: 실내악",오프라인,부산문화회관 챔버홀,2022-11-19~2022-11-19,부산국제클래식음악제조직위원회 080-600-2030
음악/콘서트,유료,서울특별시,신세계와 함께하는 예술의전당 토요콘서트 (11월),오프라인,예술의전당 콘서트홀,2022-11-19~2022-11-19,예술의전당 02-580-1300
음악/콘서트,유료,서울특별시,대니 구 바이올린 리사이틀,오프라인,롯데콘서트홀,2022-11-19~2022-11-19,크레디아뮤직앤아티스트 02-318-4301
무용/발레,유료,경기도,바디콘서트 [경기 광주],오프라인,남한산성아트홀,2022-11-19~2022-11-19,광주시문화재단 031-762-8638
음악/콘서트,유료,전라북도,"Fantasie, 브랜든 최 X 일리야 라쉬코프스키 듀오 콘서트",오프라인,전주 한벽문화관,2022-11-19~2022-11-19,전주문화재단 브랜드공연팀 063-280-7040
뮤지컬/오페라,유료,경상남도,프린세스 공주뮤지컬쇼 [김해 장유],오프라인,김해장유문화센터,2022-11-19~2022-11-19,진엔터컴 1566-7356
뮤지컬/오페라,유료,경기도,겨울왕국: 겨울이야기 [남양주],오프라인,남양주 어린이비전센터,2022-11-19~2022-11-19,옴니아트홀 070-8183-9755
뮤지컬/오페라,유료,대구광역시,앤 ANNE [대구],오프라인,어울아트센터,2022-11-19~2022-11-19,행복북구문화재단 053-320-5120
무용/발레,유료,서울특별시,"제43회 서울무용제, 남판여판춤판",오프라인,아르코예술극장 소극장,2022-11-19~2022-11-19,서울무용제 조직위원회 02-744-8066
음악/콘서트,유료,서울특별시,이지원 바이올린 독주회,오프라인,푸르지오 아트홀,2022-11-19~2022-11-19,위드클래식 02-588-6360
음악/콘서트,유료,부산광역시,"부산국제클래식음악제, BICmf 실내악",오프라인,부산문화회관 챔버홀,2022-11-19~2022-11-19,부산국제클래식음악제조직위원회 080-600-2030
기타,유료,대구광역시,The Magic 팬텀 & 퀸 [대구],오프라인,달서아트센터,2022-11-19~2022-11-19,달서아트센터 053-584-8719~20
무용/발레,무료,제주특별자치도,다시 설문대가 오다 [제주],오프라인,제주문예회관,2022-11-19~2022-11-19,제주문예회관 064-710-7656
뮤지컬/오페라,무료,충청남도,라흐마니노프 [논산],오프라인,논산아트센터,2022-11-19~2022-11-19,논산아트센터 041-730-2932
음악/콘서트,유료,서울특별시,제99회 서울챔버오케스트라 정기연주회,오프라인,예술의전당 IBK챔버홀,2022-11-19~2022-11-19,서울챔버오케스트라 070-4204-8251
국악,유료,경상남도,"별이 빛나는 포항 시리즈 Ⅲ, 이필기 국악공연",오프라인,포항문화예술회관,2022-11-19~2022-11-19,포항문화재단 054-289-7830
뮤지컬/오페라,유료,부산광역시,"키즈 오페라 콘서트, 푸치니 나비부인",오프라인,청년창조발전소 3층 문화예술공연장,2022-11-19~2022-11-19,샤콘느 010-4018-1979
무용/발레,유료,경기도,바디 콘서트,오프라인,남한산성아트홀,2022-11-19~2022-11-19,광주시문화재단 031-762-8638
음악/콘서트,유료,서울특별시,이지원 바이올린 독주회,오프라인,푸르지오 아트홀,2022-11-19~2022-11-19,02-588-6360
음악/콘서트,유료,경기도,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(성남)",오프라인,성남아트센터 콘서트홀,2022-11-19~2022-11-19,070-8680-8477
전시,무료,서울특별시,[집밖] 2022 신진미술인 전시지원 프로그램,오프라인,SeMA 벙커,2022-07-06~2022-11-20,전시문의 02-2124-8942
전시,유료,경기도,[현대어린이책미술관] 네모난 오아시스,오프라인,현대어린이책미술관,2022-07-14~2022-11-20,031-5170-3700
연극,유료,서울특별시,오만과 편견,오프라인,예스24스테이지,2022-08-30~2022-11-20,02-744-4033
전시,무료,서울특별시,[집밖] 춤추는 낱말,오프라인,서울시립미술관,2022-09-01~2022-11-20,전시문의 02-2124-8932 / 관람문의 02-2124-8868
전시,무료,서울특별시,서울시립미술관 《춤추는 낱말》,오프라인,서울시립미술관,2022-09-01~2022-11-20,02-2124-8932
뮤지컬/오페라,유료,서울특별시,어차피 혼자,오프라인,홍익대 대학로 아트센터 대극장,2022-09-06~2022-11-20,070-7724-1535
연극,유료,서울특별시,히스토리 보이즈,오프라인,두산아트센터 연강홀,2022-10-01~2022-11-20,클립서비스 1577-3363
연극,유료,광주광역시,오백에삼십 [광주],오프라인,기분좋은극장,2022-10-13~2022-11-20,주식회사 플레이팩토리 1600-6689
연극,유료,대구광역시,행오버 [대구],오프라인,송죽씨어터,2022-10-20~2022-11-20,송죽씨어터 053-252-5733
연극,유료,서울특별시,모노드라마 햄 릿,오프라인,대학로 스카이씨어터,2022-10-26~2022-11-20,010-2029-6233
연극,유료,서울특별시,너 자신이 되라,오프라인,알과핵소극장,2022-11-03~2022-11-20,잘한다프로젝트 02-922-9553
연극,유료,서울특별시,춘천 거기 for original,오프라인,대학로 선돌극장,2022-11-03~2022-11-20,아트리버 02-6498-0403
국악,유료,서울특별시,"닭들의 꿈, 날다",오프라인,한양레퍼토리씨어터,2022-11-04~2022-11-20,02-6052-8552
연극,유료,서울특별시,내 모든 걸,오프라인,후암스테이지,2022-11-08~2022-11-20,비컨크리에이티브 053-252-5733
연극,유료,서울특별시,서쪽나라의 멋쟁이,오프라인,명보아트홀,2022-11-09~2022-11-20,인터파크 1544-1555
뮤지컬/오페라,유료,서울특별시,아나키스트의 아내,오프라인,극장 봄,2022-11-10~2022-11-20,극단 더늠 010-8917-5851
연극,유료,서울특별시,"웰컴 대학로, 홈쑈핑 주식회사",오프라인,서경대학교 공연예술센터(혜화역),2022-11-10~2022-11-20,온택트티비 1661-1301
연극,유료,서울특별시,찬란하고 찬란한,오프라인,연우소극장,2022-11-11~2022-11-20,연우소극장 02-744-7090 / 인터파크 1544-1555
연극,유료,서울특별시,그림자,오프라인,천장산우화극장,2022-11-12~2022-11-20,김재란 010-2498-5890
연극,유료,경기도,봄의 노래는 바다에 흐르고 [수원],오프라인,수원SK아트리움,2022-11-12~2022-11-20,아트리버 02-6498-0403 / 수원문화재단 031-267-1644
연극,유료,경기도,수원시립공연단 제19회 정기공연 연극 <봄의 노래는 바다에 흐르고>,오프라인,수원SK아트리움,2022-11-12~2022-11-20,02-6498-0403
연극,유료,서울특별시,그날의 타이밍,오프라인,코델아트홀,2022-11-15~2022-11-20,인스타그램 THEATER_WOO / 인터파크 1544-1555
연극,유료,서울특별시,등장인물,오프라인,세종문화회관 S씨어터,2022-11-16~2022-11-20,서울시극단 02-399-1794
연극,유료,서울특별시,나무의 아이,오프라인,노원어린이극장,2022-11-17~2022-11-20,"국립아시아문화전당재단 062-601-4664, 4670"
연극,유료,서울특별시,Meet Again,오프라인,대학로 열린극장,2022-11-17~2022-11-20,인터파크 1544-1555
연극,유료,대구광역시,우리들의 히어로 [대구],오프라인,봉산문화회관,2022-11-17~2022-11-20,봉산문화회관 053-661-3521 / 극단미르 010-5820-7529
연극,유료,서울특별시,틴에이지 딕,오프라인,국립극장 달오름극장,2022-11-17~2022-11-20,02-2280-4114
연극,유료,서울특별시,사라의 행성,오프라인,대학로예술극장 소극장,2022-11-18~2022-11-20,02-3668-0007
연극,유료,서울특별시,무상 (無常),오프라인,소극장피카소,2022-11-18~2022-11-20,우노컴퍼니 010-6619-4399
연극,유료,서울특별시,리릿: 두개의 이야기,오프라인,보광극장,2022-11-18~2022-11-20,인터파크 1544-1555
무용/발레,유료,서울특별시,작꾸 둥굴구 서뚜르게,오프라인,예술의전당 자유소극장,2022-11-18~2022-11-20,02-3472-1420
연극,유료,서울특별시,삼질이의 히어로,오프라인,소극장 창덕궁,2022-11-18~2022-11-20,010-2068-6194
무용/발레,유료,서울특별시,<트리플 빌>,오프라인,예술의전당 오페라극장,2022-11-18~2022-11-20,1544-1555
연극,유료,광주광역시,로미오와 줄리엣 [광주],오프라인,국립아시아문화전당,2022-11-18~2022-11-20,010-9978-7665
연극,유료,서울특별시,"봄 작가, 겨울 무대, 사라의 행성",오프라인,대학로예술극장 소극장,2022-11-18~2022-11-20,대학로예술극장 02-3668-0007
무용/발레,유료,대구광역시,"제4회 실험극 페스티벌, 작작zoom하자: 춤으로 만나는 천국의 나무",오프라인,골목실험극장,2022-11-18~2022-11-20,010-4072-2378
연극,유료,충청남도,님의계절,오프라인,당진문예의전당,2022-11-19~2022-11-20,당진 청소년청년 극단예능 041-355-4141
기타,유료,광주광역시,노래가 되자,오프라인,국립아시아문화의전당 어린이문화원,2022-11-19~2022-11-20,국립아시아문화전당 1899-5566
연극,유료,서울특별시,"제22회 월드 2인극 페스티벌, 만원 버스",오프라인,시온아트홀,2022-11-19~2022-11-20,2인극페스티벌 조직위원회 070-7776-6613
연극,유료,서울특별시,"제22회 월드 2인극 페스티벌, 게스트하우스",오프라인,대학로 예술공간 혜화,2022-11-19~2022-11-20,2인극페스티벌 조직위원회 070-7776-6613
뮤지컬/오페라,유료,서울특별시,푸푸게노! 똥 밟았네?,오프라인,북서울 꿈의숲아트센터,2022-11-19~2022-11-20,사단법인 라벨라오페라단 02-572-6773
뮤지컬/오페라,유료,제주특별자치도,엄마까투리: 마트에 간 꽁지 [제주],오프라인,제주대학교 한라아트홀,2022-11-19~2022-11-20,극단 국민 010-4095-3005
뮤지컬/오페라,유료,부산광역시,겨울왕국: 겨울이야기 [부산 강서],오프라인,성원아트홀,2022-11-19~2022-11-20,극단 희망 010-2258-9411
뮤지컬/오페라,유료,강원도,엘사의 생일파티 [춘천],오프라인,춘천문화예술회관,2022-11-19~2022-11-20,극단 예일 02-555-0822~3
뮤지컬/오페라,유료,강원도,미니특공대: 애니멀트론 [춘천],오프라인,백령아트센터,2022-11-19~2022-11-20,ES생활문화 1661-0759 / 인터파크 1544-1555
뮤지컬/오페라,유료,경기도,캐리TV 러브콘서트: KPOP [고양],오프라인,고양어울림누리,2022-11-19~2022-11-20,드림엔터테인먼트 1600-1787
뮤지컬/오페라,유료,대전광역시,백설공주 [대전],오프라인,대전평송청소년문화센터 소극장,2022-11-19~2022-11-20,조이컬쳐 010-9611-2073
뮤지컬/오페라,유료,대구광역시,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [대구(앵콜)],오프라인,대구보건대학교 인당아트홀,2022-11-19~2022-11-20,전공이엔티 1522-2061
뮤지컬/오페라,유료,대구광역시,겨울왕국: 겨울이야기 [대구],오프라인,대백프라자 프라임홀,2022-11-19~2022-11-20,조이컬쳐 053-420-8088
뮤지컬/오페라,유료,경기도,백설공주 [수원],오프라인,경기아트센터,2022-11-19~2022-11-20,극단 상상마당 1588-6212
뮤지컬/오페라,유료,충청남도,한국사 대모험 [당진],오프라인,당진문예의전당,2022-11-19~2022-11-20,당진문예의전당 041-350-2911~5
뮤지컬/오페라,유료,경기도,누가 내머리에 똥 쌌어? [고양],오프라인,고양어울림누리,2022-11-19~2022-11-20,한울엔터테인먼트 1566-7754
뮤지컬/오페라,유료,경상남도,무지개 물고기 [창원],오프라인,성산아트홀,2022-11-19~2022-11-20,1661-6702？
기타,유료,서울특별시,화려,오프라인,민송아트홀,2022-11-19~2022-11-20,화려 010-7219-0702 / 카카오채널 화려
뮤지컬/오페라,유료,대전광역시,캐치! 티니핑: 프린세스 다이어리 [대전(앵콜)],오프라인,한밭대학교 아트홀,2022-11-19~2022-11-20,동그라미그리기 1577-4868
뮤지컬/오페라,유료,경기도,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [안산],오프라인,안산문화예술의전당,2022-11-19~2022-11-20,동그라미그리기 1577-4868
뮤지컬/오페라,유료,울산광역시,신비아파트 시즌5: 감염된 도시의 비밀 [울산],오프라인,KBS 울산홀,2022-11-19~2022-11-20,동그라미그리기 1577-4868
뮤지컬/오페라,유료,전라남도,"민쩌미, 사랑해요 엄마! [순천]",오프라인,순천문화예술회관,2022-11-19~2022-11-20,동그라미그리기 1577-4868
연극,유료,서울특별시,"제6회 구로꿈나무인형극제, 늙은 개",오프라인,구로꿈나무극장,2022-11-19~2022-11-20,구로꿈나무극장 02-830-2561~2 / 2508
연극,유료,경기도,버스를 놓치다 [안산],오프라인,안산문화예술의전당,2022-11-19~2022-11-20,극단 전진 031-507-6448
연극,유료,서울특별시,갈수록 가관이네! [성북],오프라인,꿈빛극장,2022-11-19~2022-11-20,꿈빛극장 02-6953-3201
뮤지컬/오페라,유료,경기도,킹키부츠 [성남],오프라인,성남아트센터,2022-11-19~2022-11-20,장터미디어 1877-5030
음악/콘서트,유료,서울특별시,이병우 기타 솔로콘서트,오프라인,백암아트홀,2022-11-19~2022-11-20,아츠팝콘 02-577-1923
뮤지컬/오페라,유료,울산광역시,미인 [울산],오프라인,울산문화예술회관 소공연장,2022-11-20~2022-11-20,울산문화예술회관 052-275-9623
음악/콘서트,유료,서울특별시,앙상블 로맨티코 콘서트,오프라인,예술의전당 인춘아트홀,2022-11-20~2022-11-20,예인예술기획 02-586-0945
음악/콘서트,유료,경기도,"MEG아트홀 기획연주 42, 첼리스트 김민지: 바흐 무반주 전곡 리사이틀",오프라인,MEG아트홀,2022-11-20~2022-11-20,MEG아트홀 010-9458-5310
음악/콘서트,유료,부산광역시,대니 구 바이올린 리사이틀,오프라인,부산문화회관 대극장,2022-11-20~2022-11-20,부산문화회관 051-607-6000 (ARS 1번)
음악/콘서트,유료,서울특별시,피아니스트 김진석 베토벤 시리즈 5,오프라인,예술의전당 IBK챔버홀,2022-11-20~2022-11-20,가온클래식 070-8811-0513
음악/콘서트,유료,서울특별시,지브리 페스티벌,오프라인,예술의전당 콘서트홀,2022-11-20~2022-11-20,스톰프뮤직 02-2658-3546
음악/콘서트,유료,부산광역시,제10회 첼리스트 이명로 독주회,오프라인,부산문화회관 챔버홀,2022-11-20~2022-11-20,첼리스트의 서재 010-5029-5807
뮤지컬/오페라,유료,경기도,프린세스 공주 [수원],오프라인,장안구민회관(한누리아트홀),2022-11-20~2022-11-20,조이컬쳐 010-9611-2073
뮤지컬/오페라,유료,경상남도,빨간모자와 늑대 [거제],오프라인,거제시청소년수련관,2022-11-20~2022-11-20,교육극단 파랑새 010-8230-8883
음악/콘서트,유료,부산광역시,히사이시 조 영화음악 콘서트 파이널 [부산],오프라인,부산시민회관,2022-11-20~2022-11-20,라이브러리컴퍼니 070-4190-1289
뮤지컬/오페라,유료,경상남도,호두까기인형 [김해],오프라인,김해장유문화센터,2022-11-20~2022-11-20,극단 희망 010-2258-9411
뮤지컬/오페라,유료,충청북도,프린세스 공주뮤지컬쇼 [충주],오프라인,충주시문화회관,2022-11-20~2022-11-20,진엔터컴 1566-7356
음악/콘서트,유료,서울특별시,허정인 첼로 독주회,오프라인,예술의전당 리사이틀홀,2022-11-20~2022-11-20,예인예술기획 02-586-0945
뮤지컬/오페라,유료,경기도,라푼젤 [파주],오프라인,문산행복센터,2022-11-20~2022-11-20,극단 해미소 02-974-5745 / 인터파크 1544-1555
음악/콘서트,유료,대구광역시,제19회 대구베누스토오케스트라 정기연주회,오프라인,대구콘서트하우스 그랜드홀,2022-11-20~2022-11-20,010-2584-2712
음악/콘서트,유료,서울특별시,박지현 오보에 독주회,오프라인,금호아트홀 연세,2022-11-20~2022-11-20,예인예술기획 02-586-0945
음악/콘서트,유료,서울특별시,대한민국 남성합창 페스티발,오프라인,국립극장 해오름극장,2022-11-20~2022-11-20,훈엔터테인먼트 02-332-5545
음악/콘서트,유료,서울특별시,하세연 첼로 독주회,오프라인,예술의전당 리사이틀홀,2022-11-20~2022-11-20,지클레프 02-515-5123
음악/콘서트,유료,서울특별시,"구로 클래식 페스타, 서서울필하모닉오케스트라",오프라인,구로아트밸리예술극장,2022-11-20~2022-11-20,"구로문화재단 02-2029-1725, 1700"
음악/콘서트,유료,서울특별시,피아니스트 김진석 베토벤 시리즈 5,오프라인,예술의전당 IBK챔버홀,2022-11-20~2022-11-20,가온클래식 070-8811-0513
음악/콘서트,유료,서울특별시,지브리 페스티벌,오프라인,예술의전당 콘서트홀,2022-11-20~2022-11-20,스톰프뮤직 02-2658-3546
음악/콘서트,무료,경상남도,경상필하모닉오케스트라 전국순회음악회 <황혼에서의 판타지아>,오프라인,김해문화의전당,2022-11-11~2022-11-22,010-4468-0427
뮤지컬/오페라,무료,울산광역시,"씨네스테이지, 십계",오프라인,중구문화의전당,2022-11-22~2022-11-22,울산중구문화의전당 052-290-4000
음악/콘서트,유료,대전광역시,김지향 퍼커션 리사이틀,오프라인,대전예술의전당,2022-11-22~2022-11-22,나무예술기획 042-477-8220
음악/콘서트,유료,부산광역시,게임 음악 콘서트 [부산],오프라인,금정문화회관,2022-11-22~2022-11-22,금정문화회관 051-519-5661~4
음악/콘서트,유료,대전광역시,대전시립교향악단 마티네 콘서트 4,오프라인,대전시립연정국악원,2022-11-22~2022-11-22,대전시립교향악단 042-270-8382~8
음악/콘서트,유료,서울특별시,한국을 이끄는 음악가 시리즈 6,오프라인,롯데콘서트홀,2022-11-22~2022-11-22,한경arte필하모닉 02-360-4073
음악/콘서트,유료,서울특별시,엘리소 비르살라제 피아노 리사이틀,오프라인,강동아트센터,2022-11-22~2022-11-22,강동아트센터 02-440-0500
음악/콘서트,유료,부산광역시,"부산국제클래식음악제, Pre-Concert 대전환 그리고 포용: 솔로이스츠",오프라인,부산문화회관 챔버홀,2022-11-22~2022-11-22,부산국제클래식음악제조직위원회 080-600-2030
국악,유료,경기도,광주시문화재단 출범 2주년 기념 콘서트 [경기 광주],오프라인,남한산성아트홀,2022-11-22~2022-11-22,광주시문화재단 031-762-8638
음악/콘서트,유료,서울특별시,마리아 조앙 피레스 피아노 리사이틀,오프라인,예술의전당 콘서트홀,2022-11-22~2022-11-22,인아츠프로덕션 02-6954-7760
